Code ID,Content,choice 1,choice 2,env label,Time of Day,exported,NPC_A,Shot Img ID,reaction label,reaction img,NPC_B
0,"You are a young Kritosaurus living in a herd. Even though you are not as big as some of the older adults in the herd, this is your first year looking for a mate.",,,,,,-,"""[codeID].png""",happy,"""####.png""",-
1,You wake up hungry. Time to search for food! Should you eat horsetails by the water or ferns in the forest?,Horsetails,Ferns in the forest,nesting grounds,morning,TRUE,krito herd,,neutral,,
1a,"You approach the water’s edge and the herd follows you—but something is stirring in the water. Do you feed on those horsetails, or warn the group to move downstream?",Continue feeding,Move downstream,water,day,TRUE,,,neutral,,
1a_2a,"A Deinosuchus snapped at you while you tried to eat the horsetails. You avoid injury but learn to be careful around the water. The herd is still hungry, so should the group move downstream or try the forest instead?",Move downstream,Head to forest,water,day,TRUE,deino,,afraid,,
1a_2a_3a,The herd moves downstream and another herd of Kritosaurus are already eating horsetails and drinking from the water. Should you join them or respect their territory?,Join them,Keep your distance,water,evening,TRUE,krito herd,,neutral,,
1a_2a_3b,The herd heads into the forest and you find a patch of ferns. You eat a fern an older Kritosaurus was eyeing. They attack you. Do you fight back or retreat?,Fight back,Retreat,forest,evening,TRUE,krito,,injured,,
1a_2a_3a_4a,The Kritosaurus herd is protective of their territory. They chase off your herd. Everyone is lying down to rest but you’re so hungry. Do you forage on your own or rest with the herd?,Forage,Stick with the herd,clearing,evening,TRUE,krito herd,,afraid,,
1a_2a_3a_4b,"Safe choice! Though these are Kritosaurus, they can still be territorial. The herd moves to the forest to feed on ferns instead. A small member of the other herd has followed you and starts to flirt.",Flirt back,They look weak,forest,evening,TRUE,other young krito,,happy,,
1a_2a_3b_4a,"This Kritosaurus chases you away from the ferns and the herd. You find another patch of plants to eat. While you eat, an enantiornithine bird lands on you. Should you scare it off?",Scare it off,Leave it alone,forest,evening,TRUE,,,afraid,,
1a_2a_3b_4b,"Good choice, you are probably weaker than the older Kritosaurus. Some members of your herd have laid eggs. Ever since the eggs were laid, an oviraptorid has been watching the herd. Should you chase it off?",Chase it off,Leave it be,nesting grounds,evening,TRUE,leptor,,neutral,,
1a_2a_3a_4a_5a,"Oh no! A Tyrannosaurus was stalking the herd and sees you leaving. Without the protection of numbers, you are vulnerable. ",,,trail,night,TRUE,,,afraid,,
1a_2a_3a_4a_5a_6,The Tyrannosaurus makes a quick meal of you.,,,,,,,,Dead with Injury,,
1a_2a_3a_4a_5b,"While you are resting, one of the older Kritosaurus spots a Tyrannosaurus stalking the group and warns everyone. ",,,clearing,night,TRUE,"older krtio, tyranno",,afraid,,
1a_2a_3a_4a_5b_6,The herd is able to run before the Tyrannosaurus makes a move.,,,,,,,,neutral,,
1a_2a_3a_4b_5a,Nice choice! Now you have a mate and together you will be able to lay eggs.,,,forest,night,TRUE,mate,,flirtacious,,
1a_2a_3a_4b_5a_6,You are excited to have babies!,,,,,,,,happy,,
1a_2a_3a_4b_5b,"You want a strong and healthy mate to raise potential young, so being picky isn’t a bad plan!",,,forest,night,TRUE,,,neutral,,
1a_2a_3a_4b_5b_6,You will be able to find a mate in the future.,,,,,,,,happy,,
