Code ID,Content,choice 1,choice 2,env label,Time of Day,exported,NPC_A,Shot Img ID,reaction label,reaction img,NPC_B
0,"You are a parent Tyrannosaurus. Your nest is in a secluded spot within walking distance of the river. Your eggs will hatch soon, so you need to find food for yourself and your offspring",,,,,,-,"""[codeID].png""",neutral,"""####.png""",-
1,You see a group of ornithomimids running through the trees. Do you go after them or look for something else to eat?,Go after them,Find something else,forest,morning,TRUE,ornithos,,neutral,,
1a,As you charge the ornithomimids you notice an Agujaceratops nearby. Do you go for the ornithomimids (left) or the Agujaceratops (right)?,Left,Right,forest,day,TRUE,agujas,,neutral,,
1a_2a,"You charge the ornithomimids and snatch one—it makes a tasty meal! After eating, you hear your babies calling. Your eggs must have hatched! You're full, but your hatchlings need food: do you search for more, or return to the nest?",Keep searching,Return to the nest,forest,day,TRUE,,,happy,,
1a_2a_3a,You do not see anything but you think you smell a dinosaur close by. Do you follow the scent or return to your nest and wait for prey to approach?,Investigate,Return to the nest,trail,evening,TRUE,,,neutral,,
1a_2a_3b,"You return to the nest and regurgitate some meat for your young, but end up hungry yourself. A herd of Kritosaurus approaches the water for a drink. Stalk the kritosaurs or ambush them?",Stalk them,Ambush them,water,evening,TRUE,"krito herd, baby tyrannos, tyranno nest",,neutral,,
1a_2a_3a_4a,"You follow the scent and spot a Kritosaurus. However, you also hear a distress call from your babies. Should you return to your nest? Or should you catch the Kritosaurus and bring it back to your babies?",Catch Kritosaurus,Check on the nest,forest,evening,TRUE,adult krito,,neutral,,
1a_2a_3a_4b,You see an Aquilarhinus walking past your nest and try to snatch them. You miss and they take off running towards the water. Do you follow them into the water or go back to your nest?,Go after them,Return to the nest,water,evening,TRUE,"tyranno nest, aquila, baby tyrannos",,neutral,,
1a_2a_3b_4a,The Kritosaurus take off running and you see another Tyrannosaurus begin to chase them. This Tyrannosaurus must have been stalking them too. Do you join the Tyrannosaurus or stay to protect your young?,Join them,Stay with the nest,water,evening,TRUE,"krito, tyranno",,neutral,,
1a_2a_3b_4b,"You are able catch a kritosaur. While you are eating it, you see another Tyrannosaurus building their nest a short distance from yours. Do you defend your territory or leave it be?",Defend,Leave it be,water,evening,TRUE,"tyranno, nest, nest over yonder",,happy,,
1a_2a_3a_4a_5a,Oh no! A saurornitholestes ate one of your young while you were away. ,,,water,night,TRUE,"tyranno nest, sauron, baby tyrannos",,afraid,,
1a_2a_3a_4a_5a_6,At least you have food for the remaining hatchlings.,,,,,,,,-,,
1a_2a_3a_4a_5b,"Good timing! When you return, you see a Saurornitholestes approaching your nest. ",,,water,night,TRUE,"tyranno nest, sauron",,neutral,,
1a_2a_3a_4a_5b_6,You scare it off and end the day with all of your young safe.,,,,,,,,-,,
1a_2a_3a_4b_5a,Bad idea! The water is Deinosuchus territory and this crocodylian injures you. ,,,water,night,TRUE,deino,,injured,,
1a_2a_3a_4b_5a_6,You end the day with new knowledge—you and your young should be careful around this river.,,,,,,,,-,,
1a_2a_3a_4b_5b,The crocodylian Deinosuchus lives in this river and tries to attack the hadrosaur. It fails and the Aquilarhinus runs back onto land where you are able to catch them. ,,,water,night,TRUE,"deino, aquila",,happy,,
1a_2a_3a_4b_5b_6,Good job! Now you won't have to hunt for a few more days.,,,,,,,,-,,
1a_2a_3b_4a_5a,Great choice! You are able to hunt more effectively in a group.,,,trail,night,TRUE,tyranno,,happy,,
1a_2a_3b_4a_5a_6,Your family ends the day well-fed.,,,,,,,,-,,
1a_2a_3b_4a_5b,You stay by your young but get hungry quickly. It can be hard to hunt without help. ,,,water,night,TRUE,"tyranno nest, young tyrannos",,neutral,,
1a_2a_3b_4a_5b_6,The next time you get food you might have to leave your nest unattended for a while.,,,,,,,,-,,
1a_2a_3b_4b_5a,"You charge at the other Tyrannosaurus but this dinosaur is stronger and overpowers you. Unfortunately, you do not survive the night. ",,,water,night,TRUE,"tyranno nest, young tyrannos",,Dead with Injury,,
1a_2a_3b_4b_5a_6,"Without you, your babies’ chances of survival are slim.",,,,,,,,Dead with Injury,,
1a_2a_3b_4b_5b,Smart move! The presence of two Tyrannosaurus might make this area safer for both of your families. ,,,water,night,TRUE,"2 nests, tyranno",,happy,,
1a_2a_3b_4b_5b_6,Maybe you can team up with them to hunt in the future.,,,,,,,,happy,,
1a_2b,"The Agujaceratops fights you off and you hear your hatchlings calling. You will need to feed them. You see a smaller Tyrannosaurus feeding nearby, should you try to steal their prey?",Steal the prey,Don't risk it,forest,day,TRUE,,,neutral,,
1a_2b_3a,"Because you are stronger, you easily steal the tyrannosaur's prey. You and your young enjoy a meal. Now you lead your young to get some water but you see a herd of Agujaceratops near the riverbank. What should you do?",Drink anyway,Move downstream,water,evening,TRUE,"tyranno nest, tyranno young, aguja herd",,happy,,
1a_2b_3b,"Safe choice, a fight could lead to an injury even if you are bigger. You see what looks like a deceased Agujaceratops not too far away. Should you go check it out or return to your nest?",Check it out,Return to nest,trail,evening,TRUE,dead aguja,,neutral,,
1a_2b_3a_4a,The Agujaceratops are not feeling territorial so they don’t go after you. You and your young get a drink undisturbed. You head back to your nest and a Cimolodon is scurrying around. Do you approach or ignore?,Approach them,Ignore,water,evening,TRUE,"tyranno nest, tyranno young, cimolo",,neutral,,
1a_2b_3a_4b,"When you arrive down shore, several nodosaurs are lying near the water. Do you still approach with your babies or leave?",Approach,Leave the area,water,evening,TRUE,"young tyrannos, nodo herd",,neutral,,
1a_2b_3b_4a,"Nice! You are able to feed on this dead Agujaceratops. This saves you energy since you didn’t have to hunt it. It’s late but you are thirsty, where should you look for a drink?",The river,Wait till morning,trail,evening,TRUE,,,happy,,
1a_2b_3b_4b,You return to your nest and see a group of oviraptorids roaming the river bank...do you chase them off or leave them be?,Chase them off,Leave them be,water,evening,TRUE,"tyranno nest, young tyrannos, leptors",,neutral,,
1a_2b_3a_4a_5a,As soon as you start walking towards the nest the multituberculate sees you and takes off running. ,,,water,night,TRUE,"tyranno nest, young tyrannos",,neutral,,
1a_2b_3a_4a_5a_6,"But look, your nest has been picked free of insects. Thanks Cimolodon!",,,,,,,,happy,,
1a_2b_3a_4a_5b,"You don't bother the small mammal, but one of your hatchlings runs and attacks this multituberculate. ",,,water,night,TRUE,"tyranno nest, tyranno young, cimolo",,happy,,
1a_2b_3a_4a_5b_6,Your young are already learning how to hunt!,,,,,,,,happy,,
