Code ID,Content,exportedForReview,choice 1,choice 2,env label,Time of Day,Shot Img ID,reaction label,reaction img,NPC_A,NPC_B
0,"You are a Mosasaurus whose territory is near a dormant undersea volcano. You need lots of food to sustain yourself, so you better get to it!",,,,,,,happy,,,
1,"You see a school of Enchodus in the distance and closer by, a Squalicorax...which do you hunt?",TRUE,The fish,The shark,open ocean,morning,,neutral,,,
1a,You ambush the school of Enchodus and eat a few but they don't fill you up. You will need to find more food. Should you try to hide yourself and wait for prey or continue swimming as you search?,TRUE,Hide and wait,Continue swimming,open ocean,day,,happy,,,
1a_2a,"You hide in deeper, darker waters and wait for an animal to pass above you. Soon, a Scaphites swims by. That shell looks really strong. Do you go after the ammonite anyway or wait for something else?",TRUE,Attack,Keep waiting,open ocean,day,,neutral,,,
1a_2a_3a,You snatch the ammonite. Their shell is hard but your powerful jaws crack it open! A Dolichorhynchops is coming towards you and might try to steal your ammonite. Should you attack or keep eating?,TRUE,Attack,Keep eating,open ocean,evening,,eating,,,
1a_2a_3b,"You think you see something hiding in the depths, but can't tell what it is. Should you move closer or back off?",TRUE,Move closer,Back off,open ocean,evening,,happy,,,
1a_2a_3a_4a,"You lunge at the Dolichorhynchops, not realizing they were being chased by Plioplatecarpus, another type of mosasaur. The Plioplatecarpus begins to attack you because their prey escaped. What should you do?",TRUE,Try to get away,Stay and fight,open ocean,evening,,happy,,,
1a_2a_3a_4b,"As you wait for the right moment to ambush the Dolichorhynchops you realize a Plioplatecarpus, another type of mosasaur, is pursuing it. Should you attack the Dolichorhynchops or ambush the Plioplatecarpus instead?",TRUE,Attack Dolichorhynchops,Ambush Plioplatecarpus,open ocean,evening,,neutral,,,
1a_2a_3b_4a,As you approach you realize it is a group of young Mosasaurus hiding in the darkness. You don't feel like attacking them but you are still hungry. Where to now?,TRUE,Rudist reef,Seaweed bed,open ocean,evening,,injured,,,
1a_2a_3b_4b,"Backing off was a good choice, you were not certain what was hiding in the darkness. As you swim you start to feel itchy. Should you try to scratch yourself on a nearby reef or leave it be?",TRUE,Scratch on reef,Leave it be,open ocean,evening,,neutral,,,
1a_2a_3a_4a_5a,Maybe you saved some energy by leaving but you are larger than the Plioplatecarpus and could have fought them off! At least you're uninjured.,TRUE,,,near shore,night,,afraid,,,
